"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 03 11:42:12 GMT 2025","Mon Mar 03 11:42:58 GMT 2025","46481","","com.jetbrains.teamcity.ui.SetupServerTest","","com.jetbrains.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest()",""
"passed","Mon Mar 03 11:43:12 GMT 2025","Mon Mar 03 11:43:13 GMT 2025","164","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a user without admin rights cannot create a project","a user without admin rights cannot create a project(User) [2] User(id=null, username=test_e2NBK, password=test_XQ7v9, roles=Roles(role=[Role(roleId=PROJECT_DEVELOPER, scope=g)]))",""
"passed","Mon Mar 03 11:43:14 GMT 2025","Mon Mar 03 11:43:14 GMT 2025","160","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a user can create a project with one symbol length id","a user can create a project with one symbol length id()",""
"failed","Mon Mar 03 11:43:14 GMT 2025","Mon Mar 03 11:43:14 GMT 2025","42","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a user cannot create a project with an invalid id","a user cannot create a project with an invalid id(String) [7] _id",""
"passed","Mon Mar 03 11:43:14 GMT 2025","Mon Mar 03 11:43:14 GMT 2025","141","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a user can create a project with cyrillic name","a user can create a project with cyrillic name()",""
"passed","Mon Mar 03 11:43:12 GMT 2025","Mon Mar 03 11:43:12 GMT 2025","181","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a user without admin rights cannot create a project","a user without admin rights cannot create a project(User) [1] User(id=null, username=test_fdFqa, password=test_pqmvl, roles=Roles(role=[Role(roleId=PROJECT_VIEWER, scope=g)]))",""
"passed","Mon Mar 03 11:43:12 GMT 2025","Mon Mar 03 11:43:12 GMT 2025","412","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a user should be able to copy a project with 'copyAllAssociatedSettings' false","a user should be able to copy a project with 'copyAllAssociatedSettings' false()",""
"failed","Mon Mar 03 11:43:14 GMT 2025","Mon Mar 03 11:43:14 GMT 2025","48","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a user cannot create a project with an invalid id","a user cannot create a project with an invalid id(String) [5] !@#$",""
"passed","Mon Mar 03 11:43:10 GMT 2025","Mon Mar 03 11:43:11 GMT 2025","927","","com.jetbrains.teamcity.api.BuildTypeTest","","com.jetbrains.teamcity.api.BuildTypeTest","project-admin creates a buildType","project-admin creates a buildType()",""
"failed","Mon Mar 03 11:43:14 GMT 2025","Mon Mar 03 11:43:14 GMT 2025","58","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a user cannot create a project with an invalid id","a user cannot create a project with an invalid id(String) [6] ололо",""
"passed","Mon Mar 03 11:43:14 GMT 2025","Mon Mar 03 11:43:14 GMT 2025","31","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a user should not be able to copy a project with passing empty or null sourceProject locator","a user should not be able to copy a project with passing empty or null sourceProject locator(String) [2] null",""
"passed","Mon Mar 03 11:43:14 GMT 2025","Mon Mar 03 11:43:14 GMT 2025","39","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a user should not be able to copy a non-existent project","a user should not be able to copy a non-existent project()",""
"passed","Mon Mar 03 11:43:13 GMT 2025","Mon Mar 03 11:43:13 GMT 2025","48","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a user cannot create a project with an empty or null name","a user cannot create a project with an empty or null name(String) [1] null",""
"failed","Mon Mar 03 11:43:13 GMT 2025","Mon Mar 03 11:43:14 GMT 2025","189","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a project cannot be found by name by an unauthorized user","a project cannot be found by name by an unauthorized user()",""
"passed","Mon Mar 03 11:43:15 GMT 2025","Mon Mar 03 11:43:15 GMT 2025","134","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a project may be found by name","a project may be found by name()",""
"passed","Mon Mar 03 11:43:15 GMT 2025","Mon Mar 03 11:43:15 GMT 2025","156","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a user cannot create a project with the same id","a user cannot create a project with the same id()",""
"passed","Mon Mar 03 11:43:11 GMT 2025","Mon Mar 03 11:43:12 GMT 2025","237","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a user can create a project with valid data","a user can create a project with valid data()",""
"passed","Mon Mar 03 11:43:13 GMT 2025","Mon Mar 03 11:43:13 GMT 2025","38","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a user cannot create a project with an empty or null name","a user cannot create a project with an empty or null name(String) [2] ",""
"failed","Mon Mar 03 11:43:13 GMT 2025","Mon Mar 03 11:43:13 GMT 2025","78","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a user cannot create a project without auth","a user cannot create a project without auth()",""
"passed","Mon Mar 03 11:43:14 GMT 2025","Mon Mar 03 11:43:14 GMT 2025","33","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a user should not be able to copy a project with passing empty or null sourceProject locator","a user should not be able to copy a project with passing empty or null sourceProject locator(String) [1] ",""
"passed","Mon Mar 03 11:43:12 GMT 2025","Mon Mar 03 11:43:12 GMT 2025","157","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a user can create a project with 225 symbols length id","a user can create a project with 225 symbols length id()",""
"passed","Mon Mar 03 11:43:09 GMT 2025","Mon Mar 03 11:43:10 GMT 2025","756","","com.jetbrains.teamcity.api.BuildTypeTest","","com.jetbrains.teamcity.api.BuildTypeTest","user cannot create the second buildType with already existing id","user cannot create the second buildType with already existing id()",""
"passed","Mon Mar 03 11:43:14 GMT 2025","Mon Mar 03 11:43:15 GMT 2025","320","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a user should be able to copy a project","a user should be able to copy a project()",""
"failed","Mon Mar 03 11:43:14 GMT 2025","Mon Mar 03 11:43:14 GMT 2025","73","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a user cannot create a project with an invalid id","a user cannot create a project with an invalid id(String) [2]  ",""
"failed","Mon Mar 03 11:43:14 GMT 2025","Mon Mar 03 11:43:14 GMT 2025","39","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a user cannot create a project with an invalid id","a user cannot create a project with an invalid id(String) [1] ",""
"failed","Mon Mar 03 11:43:13 GMT 2025","Mon Mar 03 11:43:13 GMT 2025","85","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a user cannot create a project with an empty or null name","a user cannot create a project with an empty or null name(String) [3]  ",""
"passed","Mon Mar 03 11:43:13 GMT 2025","Mon Mar 03 11:43:13 GMT 2025","198","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a user without admin rights cannot create a project","a user without admin rights cannot create a project(User) [3] User(id=null, username=test_c70nO, password=test_hslwk, roles=Roles(role=[Role(roleId=AGENT_MANAGER, scope=g)]))",""
"failed","Mon Mar 03 11:43:13 GMT 2025","Mon Mar 03 11:43:13 GMT 2025","61","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a user cannot create a project with 226 symbols length id","a user cannot create a project with 226 symbols length id()",""
"passed","Mon Mar 03 11:43:13 GMT 2025","Mon Mar 03 11:43:13 GMT 2025","179","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a user cannot create a project with the same name","a user cannot create a project with the same name()",""
"passed","Mon Mar 03 11:43:11 GMT 2025","Mon Mar 03 11:43:11 GMT 2025","477","","com.jetbrains.teamcity.api.BuildTypeTest","","com.jetbrains.teamcity.api.BuildTypeTest","project-admin cannot create a buildType for another project","project-admin cannot create a buildType for another project()",""
"passed","Mon Mar 03 11:43:06 GMT 2025","Mon Mar 03 11:43:09 GMT 2025","2860","","com.jetbrains.teamcity.api.BuildTypeTest","","com.jetbrains.teamcity.api.BuildTypeTest","user creates a buildType","user creates a buildType()",""
"failed","Mon Mar 03 11:43:14 GMT 2025","Mon Mar 03 11:43:14 GMT 2025","48","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a user cannot create a project with an invalid id","a user cannot create a project with an invalid id(String) [4]  test",""
"passed","Mon Mar 03 11:43:12 GMT 2025","Mon Mar 03 11:43:12 GMT 2025","48","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a non-existent project request returns 404 not found","a non-existent project request returns 404 not found()",""
"failed","Mon Mar 03 11:43:14 GMT 2025","Mon Mar 03 11:43:14 GMT 2025","54","","com.jetbrains.teamcity.api.ProjectTest","","com.jetbrains.teamcity.api.ProjectTest","a user cannot create a project with an invalid id","a user cannot create a project with an invalid id(String) [3] 1",""
