"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 10 13:56:10 GMT 2025","Mon Mar 10 13:56:19 GMT 2025","8776","","com.jetbrains.teamcity.ui.CreateProjectTest","","com.jetbrains.teamcity.ui.CreateProjectTest","a user should be able to create a project","a user should be able to create a project()",""
"passed","Mon Mar 10 13:56:40 GMT 2025","Mon Mar 10 13:56:49 GMT 2025","8573","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build() repetition 2 of 10",""
"passed","Mon Mar 10 13:57:06 GMT 2025","Mon Mar 10 13:57:15 GMT 2025","9241","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build() repetition 5 of 10",""
"broken","Mon Mar 10 13:57:27 GMT 2025","Mon Mar 10 13:57:33 GMT 2025","5809","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build() repetition 8 of 10",""
"passed","Mon Mar 10 13:55:55 GMT 2025","Mon Mar 10 13:56:03 GMT 2025","8516","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should not be able to create a build type without a branch","a user should not be able to create a build type without a branch()",""
"broken","Mon Mar 10 13:57:21 GMT 2025","Mon Mar 10 13:57:27 GMT 2025","5691","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build() repetition 7 of 10",""
"broken","Mon Mar 10 13:57:33 GMT 2025","Mon Mar 10 13:57:38 GMT 2025","5534","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build() repetition 9 of 10",""
"passed","Mon Mar 10 13:55:18 GMT 2025","Mon Mar 10 13:55:55 GMT 2025","36193","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should be able to create a build type","a user should be able to create a build type()",""
"passed","Mon Mar 10 13:56:49 GMT 2025","Mon Mar 10 13:56:57 GMT 2025","8456","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build() repetition 3 of 10",""
"passed","Mon Mar 10 13:55:13 GMT 2025","Mon Mar 10 13:55:14 GMT 2025","861","","com.jetbrains.teamcity.api.SetUpAgentTest","","com.jetbrains.teamcity.api.SetUpAgentTest","authorizeDefaultAgent","authorizeDefaultAgent()",""
"passed","Mon Mar 10 13:57:39 GMT 2025","Mon Mar 10 13:57:44 GMT 2025","5476","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build() repetition 10 of 10",""
"passed","Mon Mar 10 13:56:57 GMT 2025","Mon Mar 10 13:57:06 GMT 2025","8656","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build() repetition 4 of 10",""
"passed","Mon Mar 10 13:56:26 GMT 2025","Mon Mar 10 13:56:31 GMT 2025","5036","","com.jetbrains.teamcity.ui.FindProjectByNameTest","","com.jetbrains.teamcity.ui.FindProjectByNameTest","a user should be able to find a project by name","a user should be able to find a project by name()",""
"passed","Mon Mar 10 13:56:19 GMT 2025","Mon Mar 10 13:56:26 GMT 2025","6392","","com.jetbrains.teamcity.ui.CreateProjectTest","","com.jetbrains.teamcity.ui.CreateProjectTest","a user should not be able to create a project without a name","a user should not be able to create a project without a name()",""
"passed","Mon Mar 10 13:56:03 GMT 2025","Mon Mar 10 13:56:10 GMT 2025","7198","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should not be able to create a build type without a name","a user should not be able to create a build type without a name()",""
"passed","Mon Mar 10 13:56:31 GMT 2025","Mon Mar 10 13:56:40 GMT 2025","9703","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build() repetition 1 of 10",""
"broken","Mon Mar 10 13:57:15 GMT 2025","Mon Mar 10 13:57:21 GMT 2025","6127","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build() repetition 6 of 10",""
